,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,num-of-cylinders,engine-size,stroke,price
0,alfa-romero,gas,std,two,convertible,rwd,front,four,130,2.68,13495
1,alfa-romero,gas,std,two,convertible,rwd,front,four,130,2.68,16500
2,alfa-romero,gas,std,two,hatchback,rwd,front,six,152,3.47,16500
3,audi,gas,std,four,sedan,fwd,front,four,109,3.4,13950
4,audi,gas,std,four,sedan,4wd,front,five,136,3.4,17450
5,audi,gas,std,two,sedan,fwd,front,five,136,3.4,15250
6,audi,gas,std,four,sedan,fwd,front,five,136,3.4,17710
7,audi,gas,std,four,wagon,fwd,front,five,136,3.4,18920
8,audi,gas,turbo,four,sedan,fwd,front,five,131,3.4,23875
9,bmw,gas,std,two,sedan,rwd,front,four,108,2.8,16430
10,bmw,gas,std,four,sedan,rwd,front,four,108,2.8,16925
11,bmw,gas,std,two,sedan,rwd,front,six,164,3.19,20970
12,bmw,gas,std,four,sedan,rwd,front,six,164,3.19,21105
13,bmw,gas,std,four,sedan,rwd,front,six,164,3.19,24565
17,chevrolet,gas,std,two,hatchback,fwd,front,three,61,3.03,5151
18,chevrolet,gas,std,two,hatchback,fwd,front,four,90,3.11,6295
19,chevrolet,gas,std,four,sedan,fwd,front,four,90,3.11,6575
20,dodge,gas,std,two,hatchback,fwd,front,four,90,3.23,5572
21,dodge,gas,std,two,hatchback,fwd,front,four,90,3.23,6377
22,dodge,gas,turbo,two,hatchback,fwd,front,four,98,3.39,7957
23,dodge,gas,std,four,hatchback,fwd,front,four,90,3.23,6229
24,dodge,gas,std,four,sedan,fwd,front,four,90,3.23,6692
25,dodge,gas,std,four,sedan,fwd,front,four,90,3.23,7609
26,dodge,gas,turbo,four,sedan,fwd,front,four,98,3.39,8558
27,dodge,gas,std,four,wagon,fwd,front,four,122,3.46,8921
28,dodge,gas,turbo,two,hatchback,fwd,front,four,156,3.9,12964
29,honda,gas,std,two,hatchback,fwd,front,four,92,3.41,6479
30,honda,gas,std,two,hatchback,fwd,front,four,92,3.41,6855
31,honda,gas,std,two,hatchback,fwd,front,four,79,3.07,5399
32,honda,gas,std,two,hatchback,fwd,front,four,92,3.41,6529
33,honda,gas,std,two,hatchback,fwd,front,four,92,3.41,7129
34,honda,gas,std,four,sedan,fwd,front,four,92,3.41,7295
35,honda,gas,std,four,wagon,fwd,front,four,92,3.41,7295
36,honda,gas,std,two,hatchback,fwd,front,four,110,3.58,7895
37,honda,gas,std,two,hatchback,fwd,front,four,110,3.58,9095
38,honda,gas,std,four,sedan,fwd,front,four,110,3.58,8845
39,honda,gas,std,four,sedan,fwd,front,four,110,3.58,10295
40,honda,gas,std,four,sedan,fwd,front,four,110,3.58,12945
41,honda,gas,std,two,sedan,fwd,front,four,110,3.58,10345
42,isuzu,gas,std,four,sedan,rwd,front,four,111,3.23,6785
43,isuzu,gas,std,two,hatchback,rwd,front,four,119,3.23,11048
47,mazda,gas,std,two,hatchback,fwd,front,four,91,3.15,5195
48,mazda,gas,std,two,hatchback,fwd,front,four,91,3.15,6095
49,mazda,gas,std,two,hatchback,fwd,front,four,91,3.15,6795
50,mazda,gas,std,four,sedan,fwd,front,four,91,3.15,6695
51,mazda,gas,std,four,sedan,fwd,front,four,91,3.15,7395
52,mazda,gas,std,two,hatchback,fwd,front,four,122,3.39,8845
53,mazda,gas,std,four,sedan,fwd,front,four,122,3.39,8495
54,mazda,gas,std,two,hatchback,fwd,front,four,122,3.39,10595
55,mazda,gas,std,four,sedan,fwd,front,four,122,3.39,10245
56,mazda,diesel,std,four,sedan,fwd,front,four,122,3.39,10795
57,mazda,gas,std,four,hatchback,fwd,front,four,122,3.39,11245
58,mazda,gas,std,four,sedan,rwd,front,four,140,3.16,18280
59,mazda,diesel,std,four,sedan,rwd,front,four,134,3.64,18344
60,mercedes-benz,diesel,turbo,four,sedan,rwd,front,five,183,3.64,25552
61,mercedes-benz,diesel,turbo,four,wagon,rwd,front,five,183,3.64,28248
62,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,five,183,3.64,28176
68,mercury,gas,turbo,two,hatchback,rwd,front,four,140,3.12,16503
69,mitsubishi,gas,std,two,hatchback,fwd,front,four,92,3.23,5389
70,mitsubishi,gas,std,two,hatchback,fwd,front,four,92,3.23,6189
71,mitsubishi,gas,std,two,hatchback,fwd,front,four,92,3.23,6669
72,mitsubishi,gas,turbo,two,hatchback,fwd,front,four,98,3.39,7689
73,mitsubishi,gas,turbo,two,hatchback,fwd,front,four,110,3.46,9959
74,mitsubishi,gas,std,two,hatchback,fwd,front,four,122,3.46,8499
75,mitsubishi,gas,turbo,two,hatchback,fwd,front,four,156,3.86,12629
76,mitsubishi,gas,turbo,two,hatchback,fwd,front,four,156,3.86,14869
77,mitsubishi,gas,turbo,two,hatchback,fwd,front,four,156,3.86,14489
78,mitsubishi,gas,std,four,sedan,fwd,front,four,122,3.46,6989
79,mitsubishi,gas,std,four,sedan,fwd,front,four,122,3.46,8189
80,mitsubishi,gas,turbo,four,sedan,fwd,front,four,110,3.46,9279
81,mitsubishi,gas,std,four,sedan,fwd,front,four,110,3.46,9279
82,nissan,gas,std,two,sedan,fwd,front,four,97,3.29,5499
83,nissan,diesel,std,two,sedan,fwd,front,four,103,3.47,7099
84,nissan,gas,std,two,sedan,fwd,front,four,97,3.29,6649
85,nissan,gas,std,four,sedan,fwd,front,four,97,3.29,6849
86,nissan,gas,std,four,wagon,fwd,front,four,97,3.29,7349
87,nissan,gas,std,two,sedan,fwd,front,four,97,3.29,7299
88,nissan,gas,std,two,hatchback,fwd,front,four,97,3.29,7799
89,nissan,gas,std,four,sedan,fwd,front,four,97,3.29,7499
90,nissan,gas,std,four,wagon,fwd,front,four,97,3.29,7999
91,nissan,gas,std,two,hardtop,fwd,front,four,97,3.29,8249
92,nissan,gas,std,four,hatchback,fwd,front,four,120,3.47,8949
93,nissan,gas,std,four,sedan,fwd,front,four,120,3.47,9549
